name;score;Rating_id;Genre_id;year;director;Countries_id;company;runtime
The Shining;8.4;3;7;1980;Stanley Kubrick;22;Warner Bros.;146
The Blue Lagoon;5.8;3;1;1980;Randal Kleiser;1;Columbia Pictures;104
Star Wars: Episode V - The Empire Strikes Back;8.7;6;0;1980;Irvin Kershner;1;Lucasfilm;124
Airplane!;7.7;6;15;1980;Jim Abrahams;1;Paramount Pictures;88
Caddyshack;7.3;3;15;1980;Harold Ramis;1;Orion Pictures;98
Friday the 13th;6.4;3;2;1980;Sean S. Cunningham;1;Paramount Pictures;95
The Blues Brothers;7.9;3;0;1980;John Landis;1;Universal Pictures;133
Raging Bull;8.2;3;11;1980;Martin Scorsese;1;Chartoff-Winkler Productions;129
Superman II;6.8;6;0;1980;Richard Lester;1;Dovemead Films;127
The Long Riders;7.0;3;11;1980;Walter Hill;1;United Artists;100
Any Which Way You Can;6.1;6;0;1980;Buddy Van Horn;1;The Malpaso Company;116
The Gods Must Be Crazy;7.3;6;1;1980;Jamie Uys;32;C.A.T. Films;109
Popeye;5.3;6;1;1980;Robert Altman;1;Paramount Pictures;114
Ordinary People;7.7;3;7;1980;Robert Redford;1;Paramount Pictures;124
Dressed to Kill;7.1;3;10;1980;Brian De Palma;1;Filmways Pictures;104
Somewhere in Time;7.2;6;7;1980;Jeannot Szwarc;1;Rastar Pictures;103
Fame;6.6;3;7;1980;Alan Parker;1;Metro-Goldwyn-Mayer (MGM);134
9 to 5;6.9;6;15;1980;Colin Higgins;1;IPC Films;109
The Fog;6.8;3;2;1980;John Carpenter;1;AVCO Embassy Pictures;89
Stir Crazy;6.8;3;15;1980;Sidney Poitier;1;Columbia Pictures;111
Cruising;6.5;3;10;1980;William Friedkin;24;Lorimar Film Entertainment;102
Heaven's Gate;6.8;3;1;1980;Michael Cimino;1;Partisan Productions;219
The Final Countdown;6.7;6;0;1980;Don Taylor;1;Bryna Productions;103
Xanadu;5.3;6;12;1980;Robert Greenwald;1;Universal Pictures;96
Urban Cowboy;6.4;6;7;1980;James Bridges;1;Paramount Pictures;132
